CODICE_VIA,STATO,TIPO,DENOMINAZIONE,DATA_INTITOLAZIONE,ANNO_SOPPRESSIONE,DESCRITTIVO,ANNCSU,OPENSTREETMAP,PROGANNCSU
1,2,3,DUOMO (DEL),17000101,0,DEL DUOMO,DEL DUOMO,DEL DUOMO,
10,2,17,VITTORIO EMANUELE,,0,VITTORIO EMANUELE II,VITTORIO EMANUELE SECONDO,VITTORIO EMANUELE SECONDO,
50,3,5,MARGHERITA (SANTA),19700101,2001,SANTA MARGHERITA,SANTA MARGHERITA,SANTA MARGHERITA,
51,3,1,ANGIOLI (DEGLI),19780101,2008,DEGLI ANGIOLI,DEGLI ANGIOLI,DEGLI ANGIOLI,
52,3,4,STADIO (DELLO),20000101,2007,DELLO STADIO,DELLO STADIO,DELLO STADIO,
96,2,1,CALDERON DE LA BARCA PIETRO,19721027,0,PIETRO CALDERON DE LA BARCA,PIETRO CALDERON DE LA BARCA,PIETRO CALDERON DE LA BARCA,
97,2,4,TOSCANINI ARTURO,,0,ARTURO TOSCANINI,ARTURO TOSCANINI,ARTURO TOSCANINI,
98,2,3,LIBERTY (DEL),,0,DEL LIBERTY,DEL LIBERTY,LIBERTY,
99,2,15,MALAGODI GIOVANNI,20010426,0,GIOVANNI MALAGODI,GIOVANNI MALAGODI,GIOVANNI MALAGODI,
100,2,17,DE CRISTOFORIS,,0,DE CRISTOFORIS,DE CRISTOFORIS,DE CRISTOFORIS,
101,2,5,CIOVASSO,,0,CIOVASSO,DI VIA CIOVASSO,CIOVASSO,
102,2,15,DUOMO,,0,DUOMO,DUOMO,DUOMO,
103,2,1,PELLICO SILVIO,,0,SILVIO PELLICO,SILVIO PELLICO,SILVIO PELLICO,
104,2,1,CATTANEO CARLO,,0,CARLO CATTANEO,CARLO CATTANEO,CARLO CATTANEO,
105,2,1,GROSSI TOMMASO,,0,TOMMASO GROSSI,TOMMASO GROSSI,TOMMASO GROSSI,
106,2,1,MENGONI GIUSEPPE,19210608,0,GIUSEPPE MENGONI,GIUSEPPE MENGONI,GIUSEPPE MENGONI,
107,2,1,FARINE,,0,FARINE,FARINE,FARINE,
108,2,1,MARGHERITA (SANTA),,0,SANTA MARGHERITA,SANTA MARGHERITA,SANTA MARGHERITA,
109,2,1,PROTASO (SAN),,0,SAN PROTASO,SAN PROTASO,SAN PROTASO,
110,2,1,PORRONE BASSANO,,0,BASSANO PORRONE,BASSANO PORRONE,BASSANO PORRONE,
111,2,1,DALMAZIO (SAN),,0,SAN DALMAZIO,SAN DALMAZIO,SAN DALMAZIO,
112,2,3,FERRARI PAOLO,,0,PAOLO FERRARI,PAOLO FERRARI,PAOLO FERRARI,
113,2,1,FILODRAMMATICI,,0,FILODRAMMATICI,FILODRAMMATICI,FILODRAMMATICI,
114,2,1,CLERICI,,0,CLERICI,CLERICI,CLERICI,
115,2,1,BOSSI (DEI),,0,DEI BOSSI,DEI BOSSI,DEI BOSSI,
116,2,21,BOSSI MAURILIO,,0,MAURILIO BOSSI,MAURILIO BOSSI,MAURILIO BOSSI,
117,2,1,BOITO ARRIGO,,0,ARRIGO BOITO,ARRIGO BOITO,ARRIGO BOITO,
118,2,1,VERDI GIUSEPPE,,0,GIUSEPPE VERDI,GIUSEPPE VERDI,GIUSEPPE VERDI,
119,2,1,ROMAGNOSI GIAN DOMENICO,,0,ROMAGNOSI,ROMAGNOSI,GIANDOMENICO ROMAGNOSI,
120,2,1,ANDEGARI,,0,ANDEGARI,ANDEGARI,ANDEGARI,
121,2,1,MONTE DI PIETA',,0,MONTE DI PIETA',MONTE DI PIETA',MONTE DI PIETA',
122,2,1,BRERA,,0,BRERA,BRERA,BRERA,
123,2,1,ORSO (DELL'),,0,DELL'ORSO,DELL'ORSO,DELL'ORSO,
124,2,1,LAURO (DEL),,0,DEL LAURO,DEL LAURO,DEL LAURO,
125,2,1,CIOVASSINO,,0,CIOVASSINO,CIOVASSINO,CIOVASSINO,
126,2,1,MELONE,,0,MELONE,MELONE,MELONE,
127,2,1,CIOVASSO,,0,CIOVASSO,CIOVASSO,CIOVASSO,
